symbol	CD-coefficient
A1CF	0.00192054
A2M	0.00791193
A4GALT	0.0028736
A4GNT	-0.00178962
AAAS	-0.00247992
AACS	0.00076983
AADAC	-0.01252572
AAGAB	-0.00454202
AAK1	-0.00725799
AAMDC	0.01290263
AAMP	-0.00492071
AANAT	0.0040225
AAR2	0.00617913
AARS	-0.00112559
AARSD1	-0.0010777
AASDHPPT	-0.00815286
AASS	-0.00148778
AATF	-0.00099344
AATK	0.00528194
ABAT	0.02281103
ABCA1	0.0049035
ABCA11P	-0.00123702
ABCA12	0.00230287
ABCA2	0.011047
ABCA3	0.00451695
ABCA4	-0.00115623
ABCA5	0.00700012
ABCA6	-0.01018641
ABCA7	0.0015464
ABCA8	0.01280938
ABCB1	0.00841336
ABCB11	0.00046608
ABCB4	-0.00759478
ABCB6	0.00155297
ABCB7	0.007661
ABCB8	0.00584128
ABCB9	0.00304771
ABCC1	0.00591861
ABCC10	-0.00880199
ABCC2	0.00099323
ABCC3	0.00737276
ABCC4	0.01068032
ABCC5	-0.01448992
ABCC6	0.00985927
ABCC8	0.01225751
ABCC9	-0.0033738
ABCD1	0.00171021
ABCD2	-0.00546719
ABCD3	0.01510217
ABCD4	-0.00559139
ABCE1	0.00091898
ABCF1	-0.01567346
ABCF2	-0.00924934
ABCF3	0.01045217
ABCG1	0.00577244
ABCG2	0.00076422
ABCG4	0.00590266
ABCG5	0.00346444
ABHD10	-0.01986582
ABHD11	-0.00419699
ABHD14A	0.01153409
ABHD17A	0.00434611
ABHD17B	-0.00740779
ABHD18	-0.01548498
ABHD2	-0.00677874
ABHD3	0.00325685
ABHD4	-0.00424627
ABHD5	-0.00064704
ABHD6	0.00861308
ABHD8	0.00669253
ABI1	-0.00487661
ABI2	-0.00849623
ABI3BP	-0.00413096
ABITRAM	0.00214096
ABL1	0.02411584
ABL2	0.00060115
ABLIM1	0.00224186
ABLIM3	0.00744941
ABO	0.00109425
ABR	-0.00113126
ABRAXAS2	-0.01313712
ABT1	-0.00804987
ABTB2	0.0029316
ACAA1	-0.01024482
ACAA2	0.01916707
ACACA	0.00037987
ACACB	0.00813149
ACAD10	-0.00617858
ACAD8	-0.00129645
ACADL	0.00191404
ACADM	0.02314544
ACADS	0.0068187
ACADSB	-0.00431413
ACADVL	-0.00560919
ACAN	0.00344482
ACAP1	0.00888002
ACAP2	-0.01101484
ACAT1	0.00827245
ACAT2	0.00183473
ACBD3	0.00304965
ACBD4	-0.00210644
ACD	0.02839044
ACE	-0.00026972
ACE2	-0.00243108
ACHE	0.00788156
ACIN1	-0.00065339
ACKR1	0.00233189
ACKR2	0.00139364
ACKR3	0.04601417
ACKR4	-0.00190661
ACLY	-0.00023171
ACO1	-0.00327321
ACO2	0.00811937
ACOT11	0.00348157
ACOT13	-0.00549811
ACOT7	0.01144902
ACOT8	0.00868609
ACOT9	0.00513122
ACOX1	0.00602162
ACOX2	0.00892005
ACOX3	-0.00828733
ACOXL	-0.00101048
ACP1	-0.00927555
ACP2	-0.00342732
ACP5	-0.01211306
ACP6	0.00901788
ACPP	-0.0287093
ACR	0.00422686
ACRV1	-0.00444869
ACSBG1	0.00796971
ACSBG2	-0.00525668
ACSF2	0.00968098
ACSL1	-0.01164139
ACSL3	0.00314161
ACSL4	0.00633393
ACSL5	0.0008355
ACSL6	-0.01260739
ACSM1	0.00179834
ACSM3	-0.00733417
ACSM5	-0.00434445
ACSS3	4.44e-06
ACTA1	0.02412976
ACTA2	0.01056797
ACTB	-0.00130547
ACTC1	-0.00153997
ACTG2	-0.00686675
ACTL6A	0.00891083
ACTL6B	0.00558605
ACTL7A	0.00257458
ACTL7B	-4.418e-05
ACTL8	0.00544592
ACTN1	-0.02036721
ACTN2	0.00948343
ACTN3	0.00897831
ACTN4	-0.00672804
ACTR10	0.00171551
ACTR1A	-0.01161192
ACTR1B	0.00286773
ACTR2	-0.00530832
ACTR3	-0.01283071
ACTR3B	-0.00803011
ACTR5	0.00206975
ACTR6	3.907e-05
ACTR8	-0.0057095
ACVR1	-0.01314225
ACVR1B	0.00287662
ACVR2A	0.00221784
ACVR2B	0.00299373
ACVR2B-AS1	-0.00502768
ACVRL1	0.0008998
ACYP1	0.00931489
ACYP2	-0.00552437
ADA	-0.00752631
ADA2	-0.0028754
ADAM10	-0.00014152
ADAM11	0.00145756
ADAM12	-0.00445278
ADAM15	-0.00098422
ADAM17	-0.00648017
ADAM18	-0.00091852
ADAM19	-0.01123937
ADAM2	-0.00591258
ADAM20	-0.00135612
ADAM22	0.00106798
ADAM23	-0.00291235
ADAM28	-0.02647787
ADAM29	-0.00660219
ADAM30	-0.00403087
ADAM3A	3.91e-06
ADAM5	-0.00448561
ADAM7	-0.00417587
ADAM8	0.00281717
ADAM9	-0.01275763
ADAMDEC1	-0.00288439
ADAMTS1	0.01927827
ADAMTS12	-0.00467691
ADAMTS13	0.00054161
ADAMTS2	0.01648961
ADAMTS20	-0.00706545
ADAMTS3	0.00747414
ADAMTS5	0.02961511
ADAMTS6	-0.00780401
ADAMTS7	0.00457878
ADAMTS8	-0.00377035
ADAMTS9	-0.00609963
ADAMTSL2	0.00581828
ADAMTSL3	-0.00072864
ADAMTSL4	-0.00156568
ADAP1	-0.00717068
ADAP2	-0.00702549
ADAR	0.02188823
ADARB1	0.0008285
ADARB2	0.0027777
ADAT1	-0.01942874
