symbol	CD-coefficient
A1CF	0.00687288
A2M	0.00025535
A4GALT	0.00172911
A4GNT	-0.00314769
AAAS	0.00174112
AACS	-0.00289226
AADAC	0.01986932
AAGAB	0.01127531
AAK1	-0.00252327
AAMDC	-0.0042661
AAMP	0.00065744
AANAT	0.00229485
AAR2	-0.00404536
AARS	-0.00874197
AARSD1	0.00328427
AASDHPPT	-0.00182015
AASS	-0.00225446
AATF	-0.00089102
AATK	-0.00431711
ABAT	0.02036866
ABCA1	-0.01238221
ABCA11P	-0.00705028
ABCA12	-0.00531555
ABCA2	0.00175312
ABCA3	0.01726856
ABCA4	-0.00580489
ABCA5	0.01330229
ABCA6	0.00570068
ABCA7	0.00793696
ABCA8	0.04252432
ABCB1	0.02765453
ABCB11	0.00165296
ABCB4	0.00949386
ABCB6	-0.00472143
ABCB7	-0.00221898
ABCB8	0.00056665
ABCB9	-0.00235878
ABCC1	-0.01275308
ABCC10	0.00753779
ABCC2	0.00764128
ABCC3	-0.0344545
ABCC4	-0.00040196
ABCC5	-0.01978277
ABCC6	-0.00151766
ABCC8	0.00066457
ABCC9	0.0045783
ABCD1	0.00216651
ABCD2	0.00061321
ABCD3	0.00327519
ABCD4	-0.00067831
ABCE1	0.00578763
ABCF1	-0.00537462
ABCF2	-0.00039979
ABCF3	-0.00246175
ABCG1	-0.02107743
ABCG2	0.02323419
ABCG4	0.001609
ABCG5	-0.00413097
ABHD10	-0.00881395
ABHD11	-0.00545312
ABHD14A	0.00361763
ABHD17A	0.01002673
ABHD17B	-0.00251094
ABHD18	0.00471376
ABHD2	-0.01403602
ABHD3	0.00410999
ABHD4	0.00045116
ABHD5	0.00448402
ABHD6	0.01357421
ABHD8	-0.00251836
ABI1	0.00191167
ABI2	0.00082116
ABI3BP	0.00121696
ABITRAM	-0.00661579
ABL1	0.00061591
ABL2	-0.00145523
ABLIM1	-0.02148449
ABLIM3	0.00101303
ABO	0.00327331
ABR	0.00291706
ABRAXAS2	0.00288147
ABT1	0.00040573
ABTB2	0.00685937
ACAA1	0.00950695
ACAA2	0.01213815
ACACA	0.00357904
ACACB	0.00720524
ACAD10	-0.00344665
ACAD8	0.00316631
ACADL	0.00985353
ACADM	0.00544185
ACADS	0.0005014
ACADSB	0.00613612
ACADVL	0.01168464
ACAN	-0.00536405
ACAP1	0.00972878
ACAP2	0.00515894
ACAT1	0.01142016
ACAT2	-0.00085344
ACBD3	-0.00517477
ACBD4	0.00337098
ACD	-0.01432955
ACE	-0.0073948
ACE2	0.00420808
ACHE	-0.00976604
ACIN1	-0.0031704
ACKR1	0.00796092
ACKR2	0.00232926
ACKR3	-0.00241812
ACKR4	-0.01173239
ACLY	0.00159658
ACO1	-0.00505762
ACO2	0.00094405
ACOT11	0.00108476
ACOT13	0.00953782
ACOT7	0.01312302
ACOT8	-0.00175251
ACOT9	-0.01142566
ACOX1	0.00015929
ACOX2	-0.00096351
ACOX3	-0.00082286
ACOXL	-0.00389036
ACP1	0.00359831
ACP2	-0.00143321
ACP5	0.02011351
ACP6	-0.00260265
ACPP	0.02217699
ACR	0.00348849
ACRV1	0.00300397
ACSBG1	0.00101042
ACSBG2	0.00617735
ACSF2	0.00144342
ACSL1	-0.01330425
ACSL3	-0.01508441
ACSL4	-0.00913999
ACSL5	-0.00139608
ACSL6	0.00268841
ACSM1	-0.00012822
ACSM3	0.0242515
ACSM5	0.00760146
ACSS3	0.00832595
ACTA1	-0.00496524
ACTA2	-0.01803089
ACTB	-0.02493363
ACTC1	0.00058574
ACTG2	-0.01336854
ACTL6A	-0.01374547
ACTL6B	-0.00087394
ACTL7A	0.00273683
ACTL7B	-8.26e-06
ACTL8	0.00189325
ACTN1	0.00763048
ACTN2	0.00347188
ACTN3	-0.00375508
ACTN4	0.01312646
ACTR10	0.01161742
ACTR1A	0.00152536
ACTR1B	-0.01012551
ACTR2	-0.0003187
ACTR3	-0.00015876
ACTR3B	-0.00194942
ACTR5	0.00246756
ACTR6	0.01321263
ACTR8	-0.00375775
ACVR1	-0.00589124
ACVR1B	-0.01688971
ACVR2A	-0.00086504
ACVR2B	-0.00038181
ACVR2B-AS1	-0.00468257
ACVRL1	0.00134467
ACYP1	0.00599194
ACYP2	0.01454435
ADA	-0.00573294
ADA2	0.00390766
ADAM10	0.01078753
ADAM11	0.0026784
ADAM12	0.0077511
ADAM15	-0.00371934
ADAM17	-0.00587289
ADAM18	-0.0004505
ADAM19	0.01098267
ADAM2	-0.00305155
ADAM20	-0.00070299
ADAM22	-0.00487213
ADAM23	0.00255485
ADAM28	-0.00045733
ADAM29	0.00111594
ADAM30	0.00486652
ADAM3A	-0.00406095
ADAM5	0.00049257
ADAM7	-0.00396208
ADAM8	0.00218271
ADAM9	0.0094964
ADAMDEC1	-0.00456456
ADAMTS1	0.00462717
ADAMTS12	-0.00254479
ADAMTS13	-0.00312073
ADAMTS2	-0.00302816
ADAMTS20	-0.00294659
ADAMTS3	-0.00071935
ADAMTS5	0.00281719
ADAMTS6	-0.00315209
ADAMTS7	-0.00069599
ADAMTS8	0.0018638
ADAMTS9	0.00471712
ADAMTSL2	0.0016844
ADAMTSL3	0.0039235
ADAMTSL4	0.00131509
ADAP1	-0.0151046
ADAP2	0.0085953
ADAR	0.00199977
ADARB1	0.0079493
ADARB2	-0.00482008
ADAT1	0.0045757
ADCK2	-0.00693795
